Base,Variable,LIC,LSC
FVT 8 CD,Get_EncoderE,8,28
FVT 8 CD,Get_EncoderF,1,25
FVT 9 CD,Get_Encoder0,15,33
FVT 9 CD,Get_Encoder1,14,31
FVT 9 CD,Get_Encoder2,14,33
FVT 9 CD,Get_Encoder3,14,34
FVT 9 CD,Get_Encoder4,13,33.47
FVT 9 CD,Get_Encoder5,14,33
FVT 9 CD,Get_Encoder6,13,33
FVT 9 CD,Get_Encoder7,13,34
FVT 9 CD,Get_Encoder8,13,34
FVT 9 CD,Get_Encoder9,14,33
FVT 9 CD,Get_EncoderA,14,34
FVT 9 CD,Get_EncoderB,14,34
FVT 9 CD,Get_EncoderC,14,33.2
FVT 9 CD,Get_EncoderD,14,34
FVT 9 CD,Get_EncoderE,13,33
FVT 9 CD,Get_EncoderF,7,28
FVT 7 CD,Get_Encoder0,7,21
FVT 7 CD,Get_Encoder1,10,21
FVT 7 CD,Get_Encoder2,6,20
FVT 7 CD,Get_Encoder3,8,20.22
FVT 7 CD,Get_Encoder4,5,19
FVT 7 CD,Get_Encoder5,8,19
FVT 7 CD,Get_Encoder6,8,18
FVT 7 CD,Get_Encoder7,9,18
FVT 7 CD,Get_Encoder8,9,18
FVT 7 CD,Get_Encoder9,9,18
FVT 7 CD,Get_EncoderA,8,17
FVT 7 CD,Get_EncoderB,9,18
FVT 7 CD,Get_EncoderC,7,18
FVT 7 CD,Get_EncoderD,8,18
FVT 7 CD,Get_EncoderE,5,16
FVT 7 CD,Get_EncoderF,0,15
FVT 7 CW,Get_Encoder0,11,23
FVT 7 CW,Get_Encoder1,10,23
FVT 7 CW,Get_Encoder2,7,21
FVT 7 CW,Get_Encoder3,10,22
FVT 7 CW,Get_Encoder4,8,22
FVT 7 CW,Get_Encoder5,9.17,21
FVT 7 CW,Get_Encoder6,9,20
FVT 7 CW,Get_Encoder7,10,19
FVT 7 CW,Get_Encoder8,10,20
FVT 7 CW,Get_Encoder9,10,20
FVT 7 CW,Get_EncoderA,9,18
FVT 7 CW,Get_EncoderB,10,20
FVT 7 CW,Get_EncoderC,8,19
FVT 7 CW,Get_EncoderD,9,19
FVT 7 CW,Get_EncoderE,6,18
FVT 7 CW,Get_EncoderF,0,14
FVT 100 CD,Get_Encoder0,5,19
FVT 100 CD,Get_Encoder1,4,16
FVT 100 CD,Get_Encoder2,4,18
FVT 100 CD,Get_Encoder3,4,20
FVT 100 CD,Get_Encoder4,1,17.04
FVT 100 CD,Get_Encoder5,4,13
FVT 100 CD,Get_Encoder6,4,18
FVT 100 CD,Get_Encoder7,4,20
FVT 100 CD,Get_Encoder8,4,19
FVT 100 CD,Get_Encoder9,5,20
FVT 100 CD,Get_EncoderA,5,18
FVT 100 CD,Get_EncoderB,5,18
FVT 110 CD,Get_Encoder0,5,45.525
FVT 110 CD,Get_Encoder1,5,24.175
FVT 110 CD,Get_Encoder2,4,31.175
FVT 110 CD,Get_Encoder3,4,47.45
FVT 110 CD,Get_Encoder4,2,56.175
FVT 110 CD,Get_Encoder5,4,50.7
FVT 110 CD,Get_Encoder6,5,38
FVT 110 CD,Get_Encoder7,5,38.225
FVT 110 CD,Get_Encoder8,5,46
FVT 110 CD,Get_Encoder9,5.825,51.35
FVT 110 CD,Get_EncoderA,6,49
FVT 110 CD,Get_EncoderB,5,32.35
FVT 90 CD,Get_Encoder0,5,10
FVT 90 CD,Get_Encoder1,5,11
FVT 90 CD,Get_Encoder2,5,11
FVT 90 CD,Get_Encoder3,5,11
FVT 90 CD,Get_Encoder4,3,8.4
FVT 90 CD,Get_Encoder5,5,10
FVT 90 CD,Get_Encoder6,5,10
FVT 90 CD,Get_Encoder7,5,11
FVT 90 CD,Get_Encoder8,5,10
FVT 90 CD,Get_Encoder9,5,10
FVT 90 CD,Get_EncoderA,5,10
FVT 90 CD,Get_EncoderB,5,11
FVT 90 CW,Get_Encoder0,6,11
FVT 90 CW,Get_Encoder1,5.6,11
FVT 90 CW,Get_Encoder2,4,10
FVT 90 CW,Get_Encoder3,2,11
FVT 90 CW,Get_Encoder4,1,10
FVT 90 CW,Get_Encoder5,2,10
FVT 90 CW,Get_Encoder6,6,11
FVT 90 CW,Get_Encoder7,5,11
FVT 90 CW,Get_Encoder8,6,10
FVT 90 CW,Get_Encoder9,5.575,10
FVT 90 CW,Get_EncoderA,6,11
FVT 90 CW,Get_EncoderB,6,10.45
FVT 110 CW,Get_Encoder0,6,26
FVT 110 CW,Get_Encoder1,5,20
FVT 110 CW,Get_Encoder2,5,19
FVT 110 CW,Get_Encoder3,4,18
FVT 110 CW,Get_Encoder4,3,19
FVT 110 CW,Get_Encoder5,4,20
FVT 110 CW,Get_Encoder6,6,19
FVT 110 CW,Get_Encoder7,7,19
FVT 110 CW,Get_Encoder8,7,21
FVT 110 CW,Get_Encoder9,7,20
FVT 110 CW,Get_EncoderA,7,21
FVT 110 CW,Get_EncoderB,6,26
